Time;Symbol;FloatingPnL;Magic;PnLPercent
2025.07.22 16:42;AUDUSD;-16.17;168;-0.31
2025.07.22 16:42;AUDUSD;-10.19;168;-0.20
2025.07.22 16:42;EURUSD;-36.43;168;-0.70
2025.07.22 16:42;EURUSD;-46.47;168;-0.89
2025.07.22 16:42;NZDUSD;-15.03;168;-0.29
2025.07.22 16:42;AUDUSD;13.74;78;0.26
2025.07.22 16:42;NZDUSD;-8.16;168;-0.16
2025.07.22 16:42;GBPUSD;-8.42;168;-0.16
2025.07.22 16:42;EURUSD;-46.01;168;-0.88
2025.07.22 16:42;GBPUSD;3.75;168;0.07
2025.07.22 16:42;EURUSD;-25.14;168;-0.48
2025.07.22 16:42;EURUSD;50.73;168;0.97
2025.07.22 16:42;NZDUSD;4.75;78;0.09
2025.07.22 16:42;TOTAL;-139.05;-;-2.66
